VIN,Year,Make,Model,Owners,Color,Type
1GD02ZCG9BF078327,2004,Volkswagen|Oliver Blume|1937|https://www.vw.com/,R32,Coretta Pomfret;3/4/2004,Silver,Hatchback
1GYS3HEF1ER721002,2009,Audi|Gernot Dollner|1909|https://www.audiusa.com/,A4,Robbert Isted;2/2/2009;8/22/2015|Kristin Pedlar;8/22/2015,Black,Sedan
WBSPM9C54AE109833,2009,Chevrolet|Mary Barra|1911|https://www.chevrolet.com/,Impala,Karlee Behne;2/12/2009;4/9/2012|Lorna Stock;4/9/2012,Blue,Sedan
1G6AJ5S33E0624939,2009,Dodge|Tim Kuniskis|1900|https://www.dodge.com/,Grand Caravan,Betti Bigmore;11/27/2008;10/25/2018|Nicolina Whittock;10/25/2018,Gray,Van
WA1DGAFE3ED679519,2017,Volkswagen|Oliver Blume|1937|https://www.vw.com/,Passat,Kristin Pedlar;3/6/2017,Black,Sedan
JM1BL1H4XA1446262,1996,GMC|Mary Barra|1911|https://www.gmc.com/,Rally Wagon G3500,Cleopatra Vedeniktov;12/18/1995;6/3/2001|Melina Ody;6/3/2001;12/11/2015|Saxon Haggas;12/11/2015,Blue,Van
JN1AZ4EH2EM625745,1993,Buick|Mary Barra|1903|https://www.buick.com/,Regal,Katharyn Sabbin;11/15/1992;12/1/1998|Hussein Trevithick;12/1/1998,Brown,Sedan
KNAFU6A24D5132475,2007,GMC|Mary Barra|1911|https://www.gmc.com/,Canyon,Melina Ody;7/17/2006;1/21/2019|Ashley Howard;1/21/2019,White,Truck
WBANV13589B916279,2011,Ford|Jim Farley|1903|https://www.ford.com/,Mustang,Court Southwell;3/30/2011,Red,Coupe
3VW217AU5FM211438,2007,Dodge|Tim Kuniskis|1900|https://www.dodge.com/,Caliber,Lorna Stock;12/25/2006;1/26/2015|Court Southwell;1/26/2015,Green,Hatchback
JTEBU4BFXCK675056,2005,Infiniti|Carlos Ghosn|1989|https://www.infiniti.com/,Q45,Nicolina Whittock;10/19/2004,Yellow,Sedan
1FT7W2A6XEE785694,2019,BMW|Harald Kruger|1916|https://www.bmw.com/,6 Series,Leroy Robins;7/19/2019,Brown,Sadan
2D4RN5DG9BR156949,2001,Audi|Gernot Dollner|1909|https://www.audiusa.com/,TT,Constantina Spottiswood;5/5/2001,Silver,Coupe
1G4CU541814273310,2002,Mercury|Jim Farley|1938|https://www.ford.com/,Villager,Herman Tunder;11/27/2001,Red,Van
